,conflict,fun,knowledge,neutral,power,respect,similarity_identity,social_support,trust
conflict,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
fun,0.0,0.0,0.0,0.0,0,1.0,0.76,0.0,0
knowledge,0.76,0.99,0.0,0.65,0,0.0,0.0,0.0,0
neutral,0.0,0.0,0.0,0.27,1,0.0,0.0,0.0,1
power,0.73,0.0,0.96,0.99,0,0.0,0.0,0.0,0
respect,0.0,0.97,0.0,0.0,0,0.0,0.0,0.0,0
similarity_identity,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
social_support,0.0,0.0,0.0,0.0,0,0.54,0.0,0.0,0
trust,0.0,0.0,0.84,0.91,0,0.0,0.0,0.29,0
