,conflict,fun,knowledge,neutral,power,respect,similarity_identity,social_support,trust
conflict,0.88,1.0,0.93,0.0,0.34,0.99,0.98,1.0,0.96
fun,0.99,0.0,0.95,0.93,1.0,1.0,0.76,0.9,1.0
knowledge,0.76,0.99,0.96,0.65,0.82,0.89,0.85,1.0,0.93
neutral,1.0,0.99,0.0,0.27,1.0,1.0,1.0,0.0,1.0
power,0.73,1.0,0.96,0.99,0.93,0.99,0.0,1.0,0.92
respect,0.0,0.97,0.75,0.0,0.0,0.98,0.0,0.24,0.0
similarity_identity,0.93,0.55,0.71,0.83,0.95,0.92,1.0,0.62,0.92
social_support,0.95,0.8,0.9,0.85,0.91,0.54,0.0,0.99,0.49
trust,1.0,0.99,0.84,0.91,0.89,0.82,0.87,0.29,0.91
